Company,Dates,ESG_DISCLOSURE_SCORE,SOCIAL_SCORE,ESG_UNCERTAINTY_RANKING
DISCK US Equity,2020,,,
DISCK US Equity,2021,,,
DISCK US Equity,2022,,,
DISH US Equity,2017,,,
DISH US Equity,2018,,,
DISH US Equity,2019,,,
DISH US Equity,2020,,,
DISH US Equity,2021,,,
DISH US Equity,2022,,,
DLR US Equity,2017,,,
DLR US Equity,2018,,,
DLR US Equity,2019,,,
DLR US Equity,2020,,,
DLR US Equity,2021,,,
DLR US Equity,2022,,,
DLTR US Equity,2017,,,
DLTR US Equity,2018,,,
DLTR US Equity,2019,,,
DLTR US Equity,2020,,,
DLTR US Equity,2021,,,
DLTR US Equity,2022,,,
DOV US Equity,2017,,,
DOV US Equity,2018,,,
DOV US Equity,2019,,,
DOV US Equity,2020,,,
DOV US Equity,2021,,,
DOV US Equity,2022,,,
DOW US Equity,2017,,,
DOW US Equity,2018,,,
DOW US Equity,2019,,,
DOW US Equity,2020,,,
DOW US Equity,2021,,,
DOW US Equity,2022,,,
DPZ US Equity,2017,,,
DPZ US Equity,2018,,,
DPZ US Equity,2019,,,
DPZ US Equity,2020,,,
DPZ US Equity,2021,,,
DPZ US Equity,2022,,,
DRE US Equity,2017,,,
DRE US Equity,2018,,,
DRE US Equity,2019,,,
DRE US Equity,2020,,,
DRE US Equity,2021,,,
DRE US Equity,2022,,,
DRI US Equity,2017,,,
DRI US Equity,2018,,,
DRI US Equity,2019,,,
DRI US Equity,2020,,,
DRI US Equity,2021,,,
DRI US Equity,2022,,,
DTE US Equity,2017,,,
DTE US Equity,2018,,,
DTE US Equity,2019,,,
DTE US Equity,2020,,,
DTE US Equity,2021,,,
DTE US Equity,2022,,,
DTM US Equity,2017,,,
DTM US Equity,2018,,,
DTM US Equity,2019,,,
DTM US Equity,2020,,,
DTM US Equity,2021,,,
DTM US Equity,2022,,,
DUK US Equity,2017,,,
DUK US Equity,2018,,,
DUK US Equity,2019,,,
DUK US Equity,2020,,,
DUK US Equity,2021,,,
DUK US Equity,2022,,,
DVA US Equity,2017,,,
DVA US Equity,2018,,,
DVA US Equity,2019,,,
DVA US Equity,2020,,,
DVA US Equity,2021,,,
DVA US Equity,2022,,,
DVN US Equity,2017,,,
DVN US Equity,2018,,,
DVN US Equity,2019,,,
DVN US Equity,2020,,,
DVN US Equity,2021,,,
DVN US Equity,2022,,,
DXC US Equity,2017,,,
DXC US Equity,2018,,,
DXC US Equity,2019,,,
DXC US Equity,2020,,,
DXC US Equity,2021,,,
DXC US Equity,2022,,,
DXCM US Equity,2017,,,
DXCM US Equity,2018,,,
DXCM US Equity,2019,,,
DXCM US Equity,2020,,,
DXCM US Equity,2021,,,
DXCM US Equity,2022,,,
EA US Equity,2017,,,
EA US Equity,2018,,,
EA US Equity,2019,,,
EA US Equity,2020,,,
EA US Equity,2021,,,
EA US Equity,2022,,,
EBAY US Equity,2017,,,
EBAY US Equity,2018,,,
EBAY US Equity,2019,,,
EBAY US Equity,2020,,,
EBAY US Equity,2021,,,
EBAY US Equity,2022,,,
ECL US Equity,2017,,,
ECL US Equity,2018,,,
ECL US Equity,2019,,,
ECL US Equity,2020,,,
ECL US Equity,2021,,,
ECL US Equity,2022,,,
ED US Equity,2017,,,
ED US Equity,2018,,,
ED US Equity,2019,,,
ED US Equity,2020,,,
ED US Equity,2021,,,
ED US Equity,2022,,,
EFX US Equity,2017,,,
EFX US Equity,2018,,,
EFX US Equity,2019,,,
EFX US Equity,2020,,,
EFX US Equity,2021,,,
EFX US Equity,2022,,,
EIX US Equity,2017,,,
EIX US Equity,2018,,,
EIX US Equity,2019,,,
EIX US Equity,2020,,,
EIX US Equity,2021,,,
EIX US Equity,2022,,,
EL US Equity,2017,,,
EL US Equity,2018,,,
EL US Equity,2019,,,
EL US Equity,2020,,,
EL US Equity,2021,,,
EL US Equity,2022,,,
ELV US Equity,2017,,,
ELV US Equity,2018,,,
ELV US Equity,2019,,,
ELV US Equity,2020,,,
ELV US Equity,2021,,,
ELV US Equity,2022,,,
EMBC US Equity,2017,,,
EMBC US Equity,2018,,,
EMBC US Equity,2019,,,
EMBC US Equity,2020,,,
EMBC US Equity,2021,,,
EMBC US Equity,2022,,,
EMN US Equity,2017,,,
EMN US Equity,2018,,,
EMN US Equity,2019,,,
EMN US Equity,2020,,,
EMN US Equity,2021,,,
EMN US Equity,2022,,,
EMR US Equity,2017,,,
EMR US Equity,2018,,,
EMR US Equity,2019,,,
EMR US Equity,2020,,,
EMR US Equity,2021,,,
EMR US Equity,2022,,,
ENPH US Equity,2017,,,
ENPH US Equity,2018,,,
ENPH US Equity,2019,,,
ENPH US Equity,2020,,,
ENPH US Equity,2021,,,
ENPH US Equity,2022,,,
EOG US Equity,2017,,,
EOG US Equity,2018,,,
EOG US Equity,2019,,,
EOG US Equity,2020,,,
EOG US Equity,2021,,,
EOG US Equity,2022,,,
EPAM US Equity,2017,,,
EPAM US Equity,2018,,,
EPAM US Equity,2019,,,
EPAM US Equity,2020,,,
EPAM US Equity,2021,,,
EPAM US Equity,2022,,,
EQIX US Equity,2017,,,
EQIX US Equity,2018,,,
EQIX US Equity,2019,,,
EQIX US Equity,2020,,,
EQIX US Equity,2021,,,
EQIX US Equity,2022,,,
EQR US Equity,2017,,,
EQR US Equity,2018,,,
EQR US Equity,2019,,,
EQR US Equity,2020,,,
EQR US Equity,2021,,,
EQR US Equity,2022,,,
EQT US Equity,2017,,,
EQT US Equity,2018,,,
EQT US Equity,2019,,,
EQT US Equity,2020,,,
EQT US Equity,2021,,,
EQT US Equity,2022,,,
ES US Equity,2017,,,
ES US Equity,2018,,,
ES US Equity,2019,,,
ES US Equity,2020,,,
ES US Equity,2021,,,
ES US Equity,2022,,,
ESRX US Equity,2017,,,
ESRX US Equity,2018,,,
ESRX US Equity,2019,,,
ESRX US Equity,2020,,,
ESRX US Equity,2021,,,
ESRX US Equity,2022,,,
ESS US Equity,2017,,,
ESS US Equity,2018,,,
ESS US Equity,2019,,,
ESS US Equity,2020,,,
ESS US Equity,2021,,,
ESS US Equity,2022,,,
ETFC US Equity,2017,,,
ETFC US Equity,2018,,,
ETFC US Equity,2019,,,
ETFC US Equity,2020,,,
ETFC US Equity,2021,,,
ETFC US Equity,2022,,,
ETN US Equity,2017,,,
ETN US Equity,2018,,,
ETN US Equity,2019,,,
ETN US Equity,2020,,,
ETN US Equity,2021,,,
ETN US Equity,2022,,,
ETR US Equity,2017,,,
ETR US Equity,2018,,,
ETR US Equity,2019,,,
ETR US Equity,2020,,,
ETR US Equity,2021,,,
ETR US Equity,2022,,,
ETSY US Equity,2017,,,
ETSY US Equity,2018,,,
ETSY US Equity,2019,,,
ETSY US Equity,2020,,,
ETSY US Equity,2021,,,
ETSY US Equity,2022,,,
EVHC US Equity,2017,,,
EVHC US Equity,2018,,,
EVHC US Equity,2019,,,
EVHC US Equity,2020,,,
EVHC US Equity,2021,,,
EVHC US Equity,2022,,,
EVRG US Equity,2017,,,
EVRG US Equity,2018,,,
EVRG US Equity,2019,,,
EVRG US Equity,2020,,,
EVRG US Equity,2021,,,
EVRG US Equity,2022,,,
EW US Equity,2017,,,
EW US Equity,2018,,,
EW US Equity,2019,,,
EW US Equity,2020,,,
EW US Equity,2021,,,
EW US Equity,2022,,,
EXC US Equity,2017,,,
EXC US Equity,2018,,,
EXC US Equity,2019,,,
EXC US Equity,2020,,,
EXC US Equity,2021,,,
EXC US Equity,2022,,,
EXPD US Equity,2017,,,
EXPD US Equity,2018,,,
EXPD US Equity,2019,,,
EXPD US Equity,2020,,,
EXPD US Equity,2021,,,
EXPD US Equity,2022,,,
EXPE US Equity,2017,,,
EXPE US Equity,2018,,,
EXPE US Equity,2019,,,
EXPE US Equity,2020,,,
EXPE US Equity,2021,,,
EXPE US Equity,2022,,,
EXR US Equity,2017,,,
EXR US Equity,2018,,,
EXR US Equity,2019,,,
EXR US Equity,2020,,,
EXR US Equity,2021,,,
EXR US Equity,2022,,,
F US Equity,2017,,,
F US Equity,2018,,,
F US Equity,2019,,,
F US Equity,2020,,,
F US Equity,2021,,,
F US Equity,2022,,,
FANG US Equity,2017,,,
FANG US Equity,2018,,,
FANG US Equity,2019,,,
FANG US Equity,2020,,,
FANG US Equity,2021,,,
FANG US Equity,2022,,,
FAST US Equity,2017,,,
FAST US Equity,2018,,,
FAST US Equity,2019,,,
FAST US Equity,2020,,,
FAST US Equity,2021,,,
FAST US Equity,2022,,,
FBIN US Equity,2017,,,
FBIN US Equity,2018,,,
FBIN US Equity,2019,,,
FBIN US Equity,2020,,,
FBIN US Equity,2021,,,
FBIN US Equity,2022,,,
FCX US Equity,2017,,,
FCX US Equity,2018,,,
FCX US Equity,2019,,,
FCX US Equity,2020,,,
FCX US Equity,2021,,,
FCX US Equity,2022,,,
FDS US Equity,2017,,,
FDS US Equity,2018,,,
FDS US Equity,2019,,,
FDS US Equity,2020,,,
FDS US Equity,2021,,,
FDS US Equity,2022,,,
FDX US Equity,2017,,,
FDX US Equity,2018,,,
FDX US Equity,2019,,,
FDX US Equity,2020,,,
FDX US Equity,2021,,,
FDX US Equity,2022,,,
FE US Equity,2017,,,
FE US Equity,2018,,,
FE US Equity,2019,,,
FE US Equity,2020,,,
FE US Equity,2021,,,
FE US Equity,2022,,,
FFIV US Equity,2017,,,
FFIV US Equity,2018,,,
FFIV US Equity,2019,,,
FFIV US Equity,2020,,,
FFIV US Equity,2021,,,
FFIV US Equity,2022,,,
FI US Equity,2017,,,
FI US Equity,2018,,,
FI US Equity,2019,,,
FI US Equity,2020,,,
FI US Equity,2021,,,
FI US Equity,2022,,,
FICO US Equity,2017,,,
FICO US Equity,2018,,,
FICO US Equity,2019,,,
FICO US Equity,2020,,,
FICO US Equity,2021,,,
FICO US Equity,2022,,,
FIS US Equity,2017,,,
FIS US Equity,2018,,,
FIS US Equity,2019,,,
FIS US Equity,2020,,,
FIS US Equity,2021,,,
FIS US Equity,2022,,,
FISV US Equity,2017,,,
FISV US Equity,2018,,,
FISV US Equity,2019,,,
FISV US Equity,2020,,,
FISV US Equity,2021,,,
FISV US Equity,2022,,,
FITB US Equity,2017,,,
FITB US Equity,2018,,,
FITB US Equity,2019,,,
FITB US Equity,2020,,,
FITB US Equity,2021,,,
FITB US Equity,2022,,,
FL US Equity,2017,,,
FL US Equity,2018,,,
FL US Equity,2019,,,
FL US Equity,2020,,,
FL US Equity,2021,,,
FL US Equity,2022,,,
FLIR US Equity,2017,,,
FLIR US Equity,2018,,,
FLIR US Equity,2019,,,
FLIR US Equity,2020,,,
FLIR US Equity,2021,,,
FLIR US Equity,2022,,,
FLR US Equity,2017,,,
FLR US Equity,2018,,,
FLR US Equity,2019,,,
FLR US Equity,2020,,,
FLR US Equity,2021,,,
FLR US Equity,2022,,,
FLS US Equity,2017,,,
FLS US Equity,2018,,,
FLS US Equity,2019,,,
FLS US Equity,2020,,,
FLS US Equity,2021,,,
FLS US Equity,2022,,,
FLT US Equity,2017,,,
FLT US Equity,2018,,,
FLT US Equity,2019,,,
FLT US Equity,2020,,,
FLT US Equity,2021,,,
FLT US Equity,2022,,,
FMC US Equity,2017,,,
FMC US Equity,2018,,,
FMC US Equity,2019,,,
FMC US Equity,2020,,,
FMC US Equity,2021,,,
FMC US Equity,2022,,,
FOX US Equity,2017,,,
FOX US Equity,2018,,,
FOX US Equity,2019,,,
FOX US Equity,2020,,,
FOX US Equity,2021,,,
FOX US Equity,2022,,,
FOXA US Equity,2017,,,
FOXA US Equity,2018,,,
FOXA US Equity,2019,,,
FOXA US Equity,2020,,,
FOXA US Equity,2021,,,
FOXA US Equity,2022,,,
FRC US Equity,2017,,,
FRC US Equity,2018,,,
FRC US Equity,2019,,,
FRC US Equity,2020,,,
FRC US Equity,2021,,,
FRC US Equity,2022,,,
FRT US Equity,2017,,,
FRT US Equity,2018,,,
FRT US Equity,2019,,,
FRT US Equity,2020,,,
FRT US Equity,2021,,,
FRT US Equity,2022,,,
FSLR US Equity,2017,,,
FSLR US Equity,2018,,,
FSLR US Equity,2019,,,
FSLR US Equity,2020,,,
FSLR US Equity,2021,,,
FSLR US Equity,2022,,,
FTI US Equity,2017,,,
FTI US Equity,2018,,,
FTI US Equity,2019,,,
FTI US Equity,2020,,,
FTI US Equity,2021,,,
FTI US Equity,2022,,,
FTNT US Equity,2017,,,
FTNT US Equity,2018,,,
FTNT US Equity,2019,,,
FTNT US Equity,2020,,,
FTNT US Equity,2021,,,
FTNT US Equity,2022,,,
FTV US Equity,2017,,,
FTV US Equity,2018,,,
FTV US Equity,2019,,,
FTV US Equity,2020,,,
FTV US Equity,2021,,,
FTV US Equity,2022,,,
GD US Equity,2017,,,
GD US Equity,2018,,,
GD US Equity,2019,,,
GD US Equity,2020,,,
GD US Equity,2021,,,
GD US Equity,2022,,,
GE US Equity,2017,,,
GE US Equity,2018,,,
GE US Equity,2019,,,
GE US Equity,2020,,,
GE US Equity,2021,,,
GE US Equity,2022,,,
GEHC US Equity,2017,,,
GEHC US Equity,2018,,,
GEHC US Equity,2019,,,
GEHC US Equity,2020,,,
GEHC US Equity,2021,,,
GEHC US Equity,2022,,,
GEN US Equity,2017,,,
GEN US Equity,2018,,,
GEN US Equity,2019,,,
GEN US Equity,2020,,,
GEN US Equity,2021,,,
GEN US Equity,2022,,,
GGP US Equity,2017,,,
GGP US Equity,2018,,,
GGP US Equity,2019,,,
GGP US Equity,2020,,,
GGP US Equity,2021,,,
GGP US Equity,2022,,,
GILD US Equity,2017,,,
GILD US Equity,2018,,,
GILD US Equity,2019,,,
GILD US Equity,2020,,,
GILD US Equity,2021,,,
GILD US Equity,2022,,,
GIS US Equity,2017,,,
GIS US Equity,2018,,,
GIS US Equity,2019,,,
GIS US Equity,2020,,,
GIS US Equity,2021,,,
GIS US Equity,2022,,,
GL US Equity,2017,,,
GL US Equity,2018,,,
GL US Equity,2019,,,
GL US Equity,2020,,,
GL US Equity,2021,,,
GL US Equity,2022,,,
GLW US Equity,2017,,,
GLW US Equity,2018,,,
GLW US Equity,2019,,,
GLW US Equity,2020,,,
GLW US Equity,2021,,,
GLW US Equity,2022,,,
GM US Equity,2017,,,
GM US Equity,2018,,,
GM US Equity,2019,,,
GM US Equity,2020,,,
GM US Equity,2021,,,
GM US Equity,2022,,,
GNRC US Equity,2017,,,
GNRC US Equity,2018,,,
GNRC US Equity,2019,,,
GNRC US Equity,2020,,,
GNRC US Equity,2021,,,
GNRC US Equity,2022,,,
GOOG US Equity,2017,,,
GOOG US Equity,2018,,,
GOOG US Equity,2019,,,
GOOG US Equity,2020,,,
GOOG US Equity,2021,,,
GOOG US Equity,2022,,,
GOOGL US Equity,2017,,,
GOOGL US Equity,2018,,,
GOOGL US Equity,2019,,,
GOOGL US Equity,2020,,,
GOOGL US Equity,2021,,,
GOOGL US Equity,2022,,,
GPC US Equity,2017,,,
GPC US Equity,2018,,,
GPC US Equity,2019,,,
GPC US Equity,2020,,,
GPC US Equity,2021,,,
GPC US Equity,2022,,,
GPN US Equity,2017,,,
GPN US Equity,2018,,,
GPN US Equity,2019,,,
GPN US Equity,2020,,,
GPN US Equity,2021,,,
GPN US Equity,2022,,,
GPS US Equity,2017,,,
GPS US Equity,2018,,,
GPS US Equity,2019,,,
GPS US Equity,2020,,,
GPS US Equity,2021,,,
GPS US Equity,2022,,,
GRMN US Equity,2017,,,
GRMN US Equity,2018,,,
GRMN US Equity,2019,,,
GRMN US Equity,2020,,,
GRMN US Equity,2021,,,
GRMN US Equity,2022,,,
GS US Equity,2017,,,
GS US Equity,2018,,,
GS US Equity,2019,,,
GS US Equity,2020,,,
GS US Equity,2021,,,
GS US Equity,2022,,,
GT US Equity,2017,,,
GT US Equity,2018,,,
GT US Equity,2019,,,
GT US Equity,2020,,,
GT US Equity,2021,,,
GT US Equity,2022,,,
GTX US Equity,2017,,,
GTX US Equity,2018,,,
GTX US Equity,2019,,,
GTX US Equity,2020,,,
GTX US Equity,2021,,,
GTX US Equity,2022,,,
GWW US Equity,2017,,,
GWW US Equity,2018,,,
GWW US Equity,2019,,,
GWW US Equity,2020,,,
GWW US Equity,2021,,,
GWW US Equity,2022,,,
HAL US Equity,2017,,,
HAL US Equity,2018,,,
HAL US Equity,2019,,,
HAL US Equity,2020,,,
HAL US Equity,2021,,,
HAL US Equity,2022,,,
HAS US Equity,2017,,,
HAS US Equity,2018,,,
HAS US Equity,2019,,,
HAS US Equity,2020,,,
HAS US Equity,2021,,,
HAS US Equity,2022,,,
HBAN US Equity,2017,,,
HBAN US Equity,2018,,,
HBAN US Equity,2019,,,
HBAN US Equity,2020,,,
HBAN US Equity,2021,,,
HBAN US Equity,2022,,,
HBI US Equity,2017,,,
HBI US Equity,2018,,,
HBI US Equity,2019,,,
HBI US Equity,2020,,,
HBI US Equity,2021,,,
HBI US Equity,2022,,,
HCA US Equity,2017,,,
HCA US Equity,2018,,,
HCA US Equity,2019,,,
HCA US Equity,2020,,,
HCA US Equity,2021,,,
HCA US Equity,2022,,,
HD US Equity,2017,,,
HD US Equity,2018,,,
HD US Equity,2019,,,
HD US Equity,2020,,,
HD US Equity,2021,,,
HD US Equity,2022,,,
HES US Equity,2017,,,
HES US Equity,2018,,,
HES US Equity,2019,,,
HES US Equity,2020,,,
HES US Equity,2021,,,
HES US Equity,2022,,,
HIG US Equity,2017,,,
HIG US Equity,2018,,,
HIG US Equity,2019,,,
HIG US Equity,2020,,,
HIG US Equity,2021,,,
HIG US Equity,2022,,,
HII US Equity,2017,,,
HII US Equity,2018,,,
HII US Equity,2019,,,
HII US Equity,2020,,,
HII US Equity,2021,,,
HII US Equity,2022,,,
HLT US Equity,2017,,,
HLT US Equity,2018,,,
HLT US Equity,2019,,,
HLT US Equity,2020,,,
HLT US Equity,2021,,,
HLT US Equity,2022,,,
HOG US Equity,2017,,,
HOG US Equity,2018,,,
HOG US Equity,2019,,,
HOG US Equity,2020,,,
HOG US Equity,2021,,,
HOG US Equity,2022,,,
HOLX US Equity,2017,,,
HOLX US Equity,2018,,,
HOLX US Equity,2019,,,
HOLX US Equity,2020,,,
HOLX US Equity,2021,,,
HOLX US Equity,2022,,,
HON US Equity,2017,,,
HON US Equity,2018,,,
HON US Equity,2019,,,
HON US Equity,2020,,,
HON US Equity,2021,,,
HON US Equity,2022,,,
HP US Equity,2017,,,
HP US Equity,2018,,,
HP US Equity,2019,,,
HP US Equity,2020,,,
HP US Equity,2021,,,
HP US Equity,2022,,,
HPE US Equity,2017,,,
HPE US Equity,2018,,,
HPE US Equity,2019,,,
HPE US Equity,2020,,,
HPE US Equity,2021,,,
HPE US Equity,2022,,,
HPQ US Equity,2017,,,
HPQ US Equity,2018,,,
HPQ US Equity,2019,,,
HPQ US Equity,2020,,,
HPQ US Equity,2021,,,
HPQ US Equity,2022,,,
HRB US Equity,2017,,,
HRB US Equity,2018,,,
HRB US Equity,2019,,,
HRB US Equity,2020,,,
HRB US Equity,2021,,,
HRB US Equity,2022,,,
HRL US Equity,2017,,,
HRL US Equity,2018,,,
HRL US Equity,2019,,,
HRL US Equity,2020,,,
HRL US Equity,2021,,,
HRL US Equity,2022,,,
HSIC US Equity,2017,,,
HSIC US Equity,2018,,,
HSIC US Equity,2019,,,
HSIC US Equity,2020,,,
HSIC US Equity,2021,,,
HSIC US Equity,2022,,,
HST US Equity,2017,,,
HST US Equity,2018,,,
HST US Equity,2019,,,
HST US Equity,2020,,,
HST US Equity,2021,,,
HST US Equity,2022,,,
HSY US Equity,2017,,,
HSY US Equity,2018,,,
HSY US Equity,2019,,,
HSY US Equity,2020,,,
HSY US Equity,2021,,,
HSY US Equity,2022,,,
HUBB US Equity,2017,,,
HUBB US Equity,2018,,,
HUBB US Equity,2019,,,
HUBB US Equity,2020,,,
HUBB US Equity,2021,,,
HUBB US Equity,2022,,,
HUM US Equity,2017,,,
HUM US Equity,2018,,,
HUM US Equity,2019,,,
HUM US Equity,2020,,,
HUM US Equity,2021,,,
HUM US Equity,2022,,,
HWM US Equity,2017,,,
HWM US Equity,2018,,,
HWM US Equity,2019,,,
HWM US Equity,2020,,,
HWM US Equity,2021,,,
HWM US Equity,2022,,,
IBM US Equity,2017,,,
IBM US Equity,2018,,,
IBM US Equity,2019,,,
IBM US Equity,2020,,,
IBM US Equity,2021,,,
IBM US Equity,2022,,,
ICE US Equity,2017,,,
ICE US Equity,2018,,,
ICE US Equity,2019,,,
ICE US Equity,2020,,,
ICE US Equity,2021,,,
ICE US Equity,2022,,,
IDXX US Equity,2017,,,
IDXX US Equity,2018,,,
IDXX US Equity,2019,,,
IDXX US Equity,2020,,,
IDXX US Equity,2021,,,
IDXX US Equity,2022,,,
IEX US Equity,2017,,,
IEX US Equity,2018,,,
IEX US Equity,2019,,,
IEX US Equity,2020,,,
IEX US Equity,2021,,,
IEX US Equity,2022,,,
IFF US Equity,2017,,,
IFF US Equity,2018,,,
IFF US Equity,2019,,,
IFF US Equity,2020,,,
IFF US Equity,2021,,,
IFF US Equity,2022,,,
ILMN US Equity,2017,,,
ILMN US Equity,2018,,,
ILMN US Equity,2019,,,
ILMN US Equity,2020,,,
ILMN US Equity,2021,,,
ILMN US Equity,2022,,,
INCY US Equity,2017,,,
INCY US Equity,2018,,,
INCY US Equity,2019,,,
INCY US Equity,2020,,,
INCY US Equity,2021,,,
INCY US Equity,2022,,,
INFO US Equity,2017,,,
INFO US Equity,2018,,,
INFO US Equity,2019,,,
INFO US Equity,2020,,,
INFO US Equity,2021,,,
INFO US Equity,2022,,,
INTC US Equity,2017,,,
INTC US Equity,2018,,,
INTC US Equity,2019,,,
INTC US Equity,2020,,,
INTC US Equity,2021,,,
INTC US Equity,2022,,,
INTU US Equity,2017,,,
INTU US Equity,2018,,,
INTU US Equity,2019,,,
INTU US Equity,2020,,,
INTU US Equity,2021,,,
INTU US Equity,2022,,,
INVH US Equity,2017,,,
INVH US Equity,2018,,,
INVH US Equity,2019,,,
INVH US Equity,2020,,,
INVH US Equity,2021,,,
INVH US Equity,2022,,,
IP US Equity,2017,,,
IP US Equity,2018,,,
IP US Equity,2019,,,
IP US Equity,2020,,,
IP US Equity,2021,,,
IP US Equity,2022,,,
IPG US Equity,2017,,,
IPG US Equity,2018,,,
IPG US Equity,2019,,,
IPG US Equity,2020,,,
IPG US Equity,2021,,,
IPG US Equity,2022,,,
IPGP US Equity,2017,,,
IPGP US Equity,2018,,,
IPGP US Equity,2019,,,
IPGP US Equity,2020,,,
IPGP US Equity,2021,,,
IPGP US Equity,2022,,,
IQV US Equity,2017,,,
IQV US Equity,2018,,,
IQV US Equity,2019,,,
IQV US Equity,2020,,,
IQV US Equity,2021,,,
IQV US Equity,2022,,,
IR US Equity,2017,,,
IR US Equity,2018,,,
IR US Equity,2019,,,
IR US Equity,2020,,,
IR US Equity,2021,,,
IR US Equity,2022,,,
IRM US Equity,2017,,,
IRM US Equity,2018,,,
IRM US Equity,2019,,,
IRM US Equity,2020,,,
IRM US Equity,2021,,,
IRM US Equity,2022,,,
ISRG US Equity,2017,,,
ISRG US Equity,2018,,,
ISRG US Equity,2019,,,
ISRG US Equity,2020,,,
ISRG US Equity,2021,,,
ISRG US Equity,2022,,,
IT US Equity,2017,,,
IT US Equity,2018,,,
IT US Equity,2019,,,
IT US Equity,2020,,,
IT US Equity,2021,,,
IT US Equity,2022,,,
ITW US Equity,2017,,,
ITW US Equity,2018,,,
ITW US Equity,2019,,,
ITW US Equity,2020,,,
ITW US Equity,2021,,,
ITW US Equity,2022,,,
IVZ US Equity,2017,,,
IVZ US Equity,2018,,,
IVZ US Equity,2019,,,
IVZ US Equity,2020,,,
IVZ US Equity,2021,,,
IVZ US Equity,2022,,,
J US Equity,2017,,,
J US Equity,2018,,,
J US Equity,2019,,,
J US Equity,2020,,,
J US Equity,2021,,,
J US Equity,2022,,,
JBHT US Equity,2017,,,
JBHT US Equity,2018,,,
JBHT US Equity,2019,,,
JBHT US Equity,2020,,,
JBHT US Equity,2021,,,
JBHT US Equity,2022,,,
JCI US Equity,2017,,,
JCI US Equity,2018,,,
JCI US Equity,2019,,,
JCI US Equity,2020,,,
JCI US Equity,2021,,,
JCI US Equity,2022,,,
JEF US Equity,2017,,,
JEF US Equity,2018,,,
JEF US Equity,2019,,,
JEF US Equity,2020,,,
JEF US Equity,2021,,,
JEF US Equity,2022,,,
JKHY US Equity,2017,,,
JKHY US Equity,2018,,,
JKHY US Equity,2019,,,
JKHY US Equity,2020,,,
JKHY US Equity,2021,,,
JKHY US Equity,2022,,,
JNJ US Equity,2017,,,
JNJ US Equity,2018,,,
JNJ US Equity,2019,,,
JNJ US Equity,2020,,,
JNJ US Equity,2021,,,
JNJ US Equity,2022,,,
JNPR US Equity,2017,,,
JNPR US Equity,2018,,,
JNPR US Equity,2019,,,
JNPR US Equity,2020,,,
JNPR US Equity,2021,,,
JNPR US Equity,2022,,,
JPM US Equity,2017,,,
JPM US Equity,2018,,,
JPM US Equity,2019,,,
JPM US Equity,2020,,,
JPM US Equity,2021,,,
JPM US Equity,2022,,,
JWN US Equity,2017,,,
JWN US Equity,2018,,,
JWN US Equity,2019,,,
JWN US Equity,2020,,,
JWN US Equity,2021,,,
JWN US Equity,2022,,,
K US Equity,2017,,,
K US Equity,2018,,,
K US Equity,2019,,,
K US Equity,2020,,,
K US Equity,2021,,,
K US Equity,2022,,,
KDP US Equity,2017,,,
KDP US Equity,2018,,,
KDP US Equity,2019,,,
KDP US Equity,2020,,,
KDP US Equity,2021,,,
KDP US Equity,2022,,,
KEY US Equity,2017,,,
KEY US Equity,2018,,,
KEY US Equity,2019,,,
KEY US Equity,2020,,,
KEY US Equity,2021,,,
KEY US Equity,2022,,,
KEYS US Equity,2017,,,
KEYS US Equity,2018,,,
KEYS US Equity,2019,,,
KEYS US Equity,2020,,,
KEYS US Equity,2021,,,
KEYS US Equity,2022,,,
KHC US Equity,2017,,,
KHC US Equity,2018,,,
KHC US Equity,2019,,,
KHC US Equity,2020,,,
KHC US Equity,2021,,,
KHC US Equity,2022,,,
KIM US Equity,2017,,,
KIM US Equity,2018,,,
KIM US Equity,2019,,,
KIM US Equity,2020,,,
KIM US Equity,2021,,,
KIM US Equity,2022,,,
KLAC US Equity,2017,,,
KLAC US Equity,2018,,,
KLAC US Equity,2019,,,
KLAC US Equity,2020,,,
KLAC US Equity,2021,,,
KLAC US Equity,2022,,,
KMB US Equity,2017,,,
KMB US Equity,2018,,,
KMB US Equity,2019,,,
KMB US Equity,2020,,,
KMB US Equity,2021,,,
KMB US Equity,2022,,,
KMI US Equity,2017,,,
KMI US Equity,2018,,,
KMI US Equity,2019,,,
KMI US Equity,2020,,,
KMI US Equity,2021,,,
KMI US Equity,2022,,,
KMX US Equity,2017,,,
KMX US Equity,2018,,,
KMX US Equity,2019,,,
KMX US Equity,2020,,,
KMX US Equity,2021,,,
KMX US Equity,2022,,,
KO US Equity,2017,,,
KO US Equity,2018,,,
KO US Equity,2019,,,
KO US Equity,2020,,,
KO US Equity,2021,,,
KO US Equity,2022,,,
KR US Equity,2017,,,
KR US Equity,2018,,,
KR US Equity,2019,,,
KR US Equity,2020,,,
KR US Equity,2021,,,
KR US Equity,2022,,,
KSS US Equity,2017,,,
KSS US Equity,2018,,,
KSS US Equity,2019,,,
KSS US Equity,2020,,,
KSS US Equity,2021,,,
KSS US Equity,2022,,,
KSU US Equity,2017,,,
KSU US Equity,2018,,,
KSU US Equity,2019,,,
KSU US Equity,2020,,,
KSU US Equity,2021,,,
KSU US Equity,2022,,,
KVUE US Equity,2017,,,
KVUE US Equity,2018,,,
KVUE US Equity,2019,,,
KVUE US Equity,2020,,,
KVUE US Equity,2021,,,
KVUE US Equity,2022,,,
L US Equity,2017,,,
L US Equity,2018,,,
L US Equity,2019,,,
