Company,Dates,ESG_DISCLOSURE_SCORE,SOCIAL_SCORE,ESG_UNCERTAINTY_RANKING
AME US Equity,2021,,,
AME US Equity,2022,,,
AMG US Equity,2017,,,
AMG US Equity,2018,,,
AMG US Equity,2019,,,
AMG US Equity,2020,,,
AMG US Equity,2021,,,
AMG US Equity,2022,,,
AMGN US Equity,2017,,,
AMGN US Equity,2018,,,
AMGN US Equity,2019,,,
AMGN US Equity,2020,,,
AMGN US Equity,2021,,,
AMGN US Equity,2022,,,
AMP US Equity,2017,,,
AMP US Equity,2018,,,
AMP US Equity,2019,,,
AMP US Equity,2020,,,
AMP US Equity,2021,,,
AMP US Equity,2022,,,
AMT US Equity,2017,,,
AMT US Equity,2018,,,
AMT US Equity,2019,,,
AMT US Equity,2020,,,
AMT US Equity,2021,,,
AMT US Equity,2022,,,
AMZN US Equity,2017,,,
AMZN US Equity,2018,,,
AMZN US Equity,2019,,,
AMZN US Equity,2020,,,
AMZN US Equity,2021,,,
AMZN US Equity,2022,,,
ANDV US Equity,2017,,,
ANDV US Equity,2018,,,
ANDV US Equity,2019,,,
ANDV US Equity,2020,,,
ANDV US Equity,2021,,,
ANDV US Equity,2022,,,
ANET US Equity,2017,,,
ANET US Equity,2018,,,
ANET US Equity,2019,,,
ANET US Equity,2020,,,
ANET US Equity,2021,,,
ANET US Equity,2022,,,
ANSS US Equity,2017,,,
ANSS US Equity,2018,,,
ANSS US Equity,2019,,,
ANSS US Equity,2020,,,
ANSS US Equity,2021,,,
ANSS US Equity,2022,,,
AON US Equity,2017,,,
AON US Equity,2018,,,
AON US Equity,2019,,,
AON US Equity,2020,,,
AON US Equity,2021,,,
AON US Equity,2022,,,
AOS US Equity,2017,,,
AOS US Equity,2018,,,
AOS US Equity,2019,,,
AOS US Equity,2020,,,
AOS US Equity,2021,,,
AOS US Equity,2022,,,
APA US Equity,2017,,,
APA US Equity,2018,,,
APA US Equity,2019,,,
APA US Equity,2020,,,
APA US Equity,2021,,,
APA US Equity,2022,,,
APC US Equity,2017,,,
APC US Equity,2018,,,
APC US Equity,2019,,,
APC US Equity,2020,,,
APC US Equity,2021,,,
APC US Equity,2022,,,
APD US Equity,2017,,,
APD US Equity,2018,,,
APD US Equity,2019,,,
APD US Equity,2020,,,
APD US Equity,2021,,,
APD US Equity,2022,,,
APH US Equity,2017,,,
APH US Equity,2018,,,
APH US Equity,2019,,,
APH US Equity,2020,,,
APH US Equity,2021,,,
APH US Equity,2022,,,
APTV US Equity,2017,,,
APTV US Equity,2018,,,
APTV US Equity,2019,,,
APTV US Equity,2020,,,
APTV US Equity,2021,,,
APTV US Equity,2022,,,
ARE US Equity,2017,,,
ARE US Equity,2018,,,
ARE US Equity,2019,,,
ARE US Equity,2020,,,
ARE US Equity,2021,,,
ARE US Equity,2022,,,
ATO US Equity,2017,,,
ATO US Equity,2018,,,
ATO US Equity,2019,,,
ATO US Equity,2020,,,
ATO US Equity,2021,,,
ATO US Equity,2022,,,
ATVI US Equity,2017,,,
ATVI US Equity,2018,,,
ATVI US Equity,2019,,,
ATVI US Equity,2020,,,
ATVI US Equity,2021,,,
ATVI US Equity,2022,,,
AVB US Equity,2017,,,
AVB US Equity,2018,,,
AVB US Equity,2019,,,
AVB US Equity,2020,,,
AVB US Equity,2021,,,
AVB US Equity,2022,,,
AVGO US Equity,2017,,,
AVGO US Equity,2018,,,
AVGO US Equity,2019,,,
AVGO US Equity,2020,,,
AVGO US Equity,2021,,,
AVGO US Equity,2022,,,
AVY US Equity,2017,,,
AVY US Equity,2018,,,
AVY US Equity,2019,,,
AVY US Equity,2020,,,
AVY US Equity,2021,,,
AVY US Equity,2022,,,
AWK US Equity,2017,,,
AWK US Equity,2018,,,
AWK US Equity,2019,,,
AWK US Equity,2020,,,
AWK US Equity,2021,,,
AWK US Equity,2022,,,
AXON US Equity,2017,,,
AXON US Equity,2018,,,
AXON US Equity,2019,,,
AXON US Equity,2020,,,
AXON US Equity,2021,,,
AXON US Equity,2022,,,
AXP US Equity,2017,,,
AXP US Equity,2018,,,
AXP US Equity,2019,,,
AXP US Equity,2020,,,
AXP US Equity,2021,,,
AXP US Equity,2022,,,
AYI US Equity,2017,,,
AYI US Equity,2018,,,
AYI US Equity,2019,,,
AYI US Equity,2020,,,
AYI US Equity,2021,,,
AYI US Equity,2022,,,
AZO US Equity,2017,,,
AZO US Equity,2018,,,
AZO US Equity,2019,,,
AZO US Equity,2020,,,
AZO US Equity,2021,,,
AZO US Equity,2022,,,
BA US Equity,2017,,,
BA US Equity,2018,,,
BA US Equity,2019,,,
BA US Equity,2020,,,
BA US Equity,2021,,,
BA US Equity,2022,,,
BAC US Equity,2017,,,
BAC US Equity,2018,,,
BAC US Equity,2019,,,
BAC US Equity,2020,,,
BAC US Equity,2021,,,
BAC US Equity,2022,,,
BALL US Equity,2017,,,
BALL US Equity,2018,,,
BALL US Equity,2019,,,
BALL US Equity,2020,,,
BALL US Equity,2021,,,
BALL US Equity,2022,,,
BAX US Equity,2017,,,
BAX US Equity,2018,,,
BAX US Equity,2019,,,
BAX US Equity,2020,,,
BAX US Equity,2021,,,
BAX US Equity,2022,,,
BBWI US Equity,2017,,,
BBWI US Equity,2018,,,
BBWI US Equity,2019,,,
BBWI US Equity,2020,,,
BBWI US Equity,2021,,,
BBWI US Equity,2022,,,
BBY US Equity,2017,,,
BBY US Equity,2018,,,
BBY US Equity,2019,,,
BBY US Equity,2020,,,
BBY US Equity,2021,,,
BBY US Equity,2022,,,
BDX US Equity,2017,,,
BDX US Equity,2018,,,
BDX US Equity,2019,,,
BDX US Equity,2020,,,
BDX US Equity,2021,,,
BDX US Equity,2022,,,
BEN US Equity,2017,,,
BEN US Equity,2018,,,
BEN US Equity,2019,,,
BEN US Equity,2020,,,
BEN US Equity,2021,,,
BEN US Equity,2022,,,
BF US Equity,2017,,,
BF US Equity,2018,,,
BF US Equity,2019,,,
BF US Equity,2020,,,
BF US Equity,2021,,,
BF US Equity,2022,,,
BFH US Equity,2017,,,
BFH US Equity,2018,,,
BFH US Equity,2019,,,
BFH US Equity,2020,,,
BFH US Equity,2021,,,
BFH US Equity,2022,,,
BG US Equity,2017,,,
BG US Equity,2018,,,
BG US Equity,2019,,,
BG US Equity,2020,,,
BG US Equity,2021,,,
BG US Equity,2022,,,
BHF US Equity,2017,,,
BHF US Equity,2018,,,
BHF US Equity,2019,,,
BHF US Equity,2020,,,
BHF US Equity,2021,,,
BHF US Equity,2022,,,
BIIB US Equity,2017,,,
BIIB US Equity,2018,,,
BIIB US Equity,2019,,,
BIIB US Equity,2020,,,
BIIB US Equity,2021,,,
BIIB US Equity,2022,,,
BIO US Equity,2017,,,
BIO US Equity,2018,,,
BIO US Equity,2019,,,
BIO US Equity,2020,,,
BIO US Equity,2021,,,
BIO US Equity,2022,,,
BK US Equity,2017,,,
BK US Equity,2018,,,
BK US Equity,2019,,,
BK US Equity,2020,,,
BK US Equity,2021,,,
BK US Equity,2022,,,
BKNG US Equity,2017,,,
BKNG US Equity,2018,,,
BKNG US Equity,2019,,,
BKNG US Equity,2020,,,
BKNG US Equity,2021,,,
BKNG US Equity,2022,,,
BKR US Equity,2017,,,
BKR US Equity,2018,,,
BKR US Equity,2019,,,
BKR US Equity,2020,,,
BKR US Equity,2021,,,
BKR US Equity,2022,,,
BLK US Equity,2017,,,
BLK US Equity,2018,,,
BLK US Equity,2019,,,
BLK US Equity,2020,,,
BLK US Equity,2021,,,
BLK US Equity,2022,,,
BMY US Equity,2017,,,
BMY US Equity,2018,,,
BMY US Equity,2019,,,
BMY US Equity,2020,,,
BMY US Equity,2021,,,
BMY US Equity,2022,,,
BR US Equity,2017,,,
BR US Equity,2018,,,
BR US Equity,2019,,,
BR US Equity,2020,,,
BR US Equity,2021,,,
BR US Equity,2022,,,
BRK US Equity,2017,,,
BRK US Equity,2018,,,
BRK US Equity,2019,,,
BRK US Equity,2020,,,
BRK US Equity,2021,,,
BRK US Equity,2022,,,
BRO US Equity,2017,,,
BRO US Equity,2018,,,
BRO US Equity,2019,,,
BRO US Equity,2020,,,
BRO US Equity,2021,,,
BRO US Equity,2022,,,
BSX US Equity,2017,,,
BSX US Equity,2018,,,
BSX US Equity,2019,,,
BSX US Equity,2020,,,
BSX US Equity,2021,,,
BSX US Equity,2022,,,
BWA US Equity,2017,,,
BWA US Equity,2018,,,
BWA US Equity,2019,,,
BWA US Equity,2020,,,
BWA US Equity,2021,,,
BWA US Equity,2022,,,
BX US Equity,2017,,,
BX US Equity,2018,,,
BX US Equity,2019,,,
BX US Equity,2020,,,
BX US Equity,2021,,,
BX US Equity,2022,,,
BXP US Equity,2017,,,
BXP US Equity,2018,,,
BXP US Equity,2019,,,
BXP US Equity,2020,,,
BXP US Equity,2021,,,
BXP US Equity,2022,,,
C US Equity,2017,,,
C US Equity,2018,,,
C US Equity,2019,,,
C US Equity,2020,,,
C US Equity,2021,,,
C US Equity,2022,,,
CA US Equity,2017,,,
CA US Equity,2018,,,
CA US Equity,2019,,,
CA US Equity,2020,,,
CA US Equity,2021,,,
CA US Equity,2022,,,
CAG US Equity,2017,,,
CAG US Equity,2018,,,
CAG US Equity,2019,,,
